styleid,Url,len_Fabulyst,len_Myntra,correct?,analysis
484148,http://myntra.myntassets.com/images/style/properties/Pehraan-Women-Kurtas_25d69496d53aa1bafbb6f1ef2396f804_images.jpg,Above Knee,#N/A,#N/A,FN
2359607,http://myntra.myntassets.com/assets/images/2359607/2018/2/23/11519367549853-IMARA-Women-Kurta-Sets-6511519367549634-1.jpg,Calf Length,Knee Length,FALSE,FN
1797590,http://myntra.myntassets.com/assets/images/1797590/2017/3/8/11488953253568-AKS-Women-Kurtas-101488953253356-1.jpg,Calf Length,Knee Length,FALSE,TN
1410758,http://myntra.myntassets.com/assets/images/1410758/2016/6/25/11466847351534-Cottinfab-Multicoloured-Printed-Kurta-8341466847351405-1.jpg,Calf Length,Knee Length,FALSE,FN
743902,http://myntra.myntassets.com/image/style/properties/743902/BIBA-Women-Black-Sheer-Embroidered-Kurta_1_dcab4e966536e26682de44b565025a41.jpg,Knee Length,Knee Length,TRUE,
1681489,http://myntra.myntassets.com/assets/images/1681489/2017/3/7/11488884400688-Anouk-Women-Purple-Solid-Pathani-Kurta-5271488884400547-1.jpg,Knee Length,Knee Length,TRUE,
1623952,http://myntra.myntassets.com/assets/images/1623952/2016/11/18/11479456222656-AURELIA-Women-Purple-Woven-Design-Straight-Kurta-4181479456222352-1.jpg,Knee Length,Knee Length,TRUE,
1669370,http://myntra.myntassets.com/assets/images/1669370/2016/12/2/11480659310726-Azira-Women-Kurtas-5771480659310278-1.jpg,Above Knee,Knee Length,FALSE,FN
836623,http://myntra.myntassets.com/image/style/properties/836623/Juniper-Women-Kurtas_1_c3b1ed4255212d6dc81f819ed741c14c.jpg,Above Knee,Knee Length,FALSE,FN
2467334,http://myntra.myntassets.com/assets/images/2467334/2018/2/8/11518076196551-na-6481518076196319-1.jpg,Knee Length,Knee Length,TRUE,
2495825,http://myntra.myntassets.com/assets/images/2495825/2018/2/17/11518854464326-na-7911518854464051-1.jpg,Calf Length,Calf Length,TRUE,
2167010,http://myntra.myntassets.com/assets/images/2167010/2017/10/6/11507279165469-Janasya-Women-Kurtas-3661507279165327-1.jpg,Knee Length,Calf Length,FALSE,FN
2478104,http://myntra.myntassets.com/assets/images/2478104/2018/2/12/11518414881894-na-3201518414881689-1.jpg,Ankle Length,Calf Length,FALSE,FN
2478374,http://myntra.myntassets.com/assets/images/2478374/2018/2/12/11518420251535-na-3181518420251236-1.jpg,Ankle Length,Ankle Length,TRUE,
1898517,http://myntra.myntassets.com/assets/images/1898517/2017/5/11/11494492381028-AgrohA-Women-Kurtas-9761494492380816-1.jpg,Ankle Length,Calf Length,FALSE,TN
2423662,http://myntra.myntassets.com/assets/images/2423662/2018/1/24/11516786541728-Sera-Womens-Ethnic-Wear--Printed-A-Line-Kurta-6211516786541592-1.jpg,Ankle Length,Knee Length,FALSE,TN
1862998,http://myntra.myntassets.com/assets/images/1862998/2017/4/20/11492690154493-Vishudh-Women-Kurtas-9631492690154252-1.jpg,Calf Length,Calf Length,TRUE,
2363674,http://myntra.myntassets.com/assets/images/2363674/2018/1/4/11515057593170-W-Women-Cream-Coloured--Blue-Printed-Straight-Kurta-5831515057593109-1.jpg,Calf Length,Calf Length,TRUE,
2519165,http://myntra.myntassets.com/assets/images/2519165/2018/2/26/11519635896837-NA-8381519635896700-1.jpg,Calf Length,Calf Length,TRUE,
2493408,http://myntra.myntassets.com/assets/images/2493408/2018/2/21/11519211943941-Grey-yarn-dye-woven-design-A-Line-kurta-2461519211943821-1.jpg,Calf Length,Calf Length,TRUE,
2468970,http://myntra.myntassets.com/assets/images/2468970/2018/2/9/11518154926661-Evam-Women-Kurtas-5591518154926491-1.jpg,Calf Length,Ankle Length,FALSE,FN
2398381,http://myntra.myntassets.com/assets/images/2398381/2018/1/16/11516084564918-Vaamsi-Women-Navy-Blue-Solid-A-Line-Kurta-3611516084564786-1.jpg,Calf Length,Calf Length,TRUE,
1083356,http://myntra.myntassets.com/assets/images/1083356/2015/11/20/11447999799101-Yepme-Women-Kurtis-2131447999798672-1.jpg,Above Knee,Knee Length,FALSE,FN
1817316,http://myntra.myntassets.com/assets/images/1817316/2017/3/29/11490786752402-Libas-Women-Black-Printed-Straight-Kurta-5851490786752179-1.jpg,Above Knee,Calf Length,FALSE,TN
2452116,http://myntra.myntassets.com/assets/images/2452116/2018/2/15/11518685132423-RANGMANCH-BY-PANTALOONS-Women-Pink--Orange-Solid-A-Line-Kurta-331518685132277-1.jpg,Calf Length,Knee Length,FALSE,FN
2515278,http://myntra.myntassets.com/assets/images/2515278/2018/2/23/11519378191705-na-9391519378191488-1.jpg,Calf Length,Knee Length,FALSE,FN
2423672,http://myntra.myntassets.com/assets/images/2423672/2018/1/24/11516786640925-Sera-Womens-Ethnic-Wear--Printed-Bell-sleeve-Kurta-8941516786640734-1.jpg,Calf Length,Calf Length,TRUE,
2323020,http://myntra.myntassets.com/assets/images/2323020/2018/1/29/11517208064392-Anouk-Women-Green-Printed-A-Line-Kurta-2661517208064267-1.jpg,Calf Length,Calf Length,TRUE,
